b20_vol_count,date,equity_before,level,price,regime,target_position,type,weighted_b20_vol
1,2016-09-05,10000000.00,16946.4902,17037.6309,unknown,0.00,REGIME_D0_BREAKOUT_WATCH,0.0163
,2016-09-08,10000000.00,,16958.7695,unknown,0.25,REGIME_D3_TRIAL,
,2016-09-09,10000000.00,,16994.3691,,0.25,execute,
,2016-09-12,9952712.39,,16672.9199,unknown,0.00,REGIME_D5_FALLBACK_TRIM,
,2016-09-13,9966206.64,,16764.6504,,0.00,execute,
2,2016-10-20,9966206.64,17156.3594,17235.5000,unknown,0.00,REGIME_D0_BREAKOUT_WATCH,0.0394
,2016-10-25,9966206.64,,17365.2500,unknown,0.25,REGIME_D3_TRIAL,
,2016-10-26,9966206.64,,17329.0293,,0.25,execute,
2,2016-10-27,9967269.25,,17336.4199,unknown,0.50,REGIME_D5_NORMAL_ADD,0.0394
,2016-10-28,9983348.08,,17448.2500,,0.50,execute,
6,2016-10-28,9982821.73,17414.2109,17446.4102,unknown,0.50,REGIME_D0_BREAKOUT_WATCH,0.2695
,2016-11-07,9905808.00,,17177.2109,unknown,0.00,REGIME_D5_FALLBACK_TRIM,
,2016-11-08,9924543.18,,17242.6992,,0.00,execute,
,2016-11-14,9924543.18,,17672.6191,unknown,0.50,REGIME_D3_SUPPORT_RECLAIM_RESTORE,
4,2016-11-14,9924543.18,17621.7305,17672.6191,unknown,0.00,REGIME_D0_BREAKOUT_WATCH,0.0521
,2016-11-15,9924543.18,,17690.2207,,0.50,execute,
1,2016-11-22,10057145.19,18129.0293,18162.9395,unknown,0.51,REGIME_D0_BREAKOUT_WATCH,0.0119
6,2016-12-01,10155373.86,18482.9395,18513.1191,unknown,0.51,REGIME_D0_BREAKOUT_WATCH,0.1197
,2016-12-08,10226160.82,,18765.4707,unknown,0.00,REGIME_D5_FALLBACK_TRIM,
,2016-12-09,10247061.50,,18839.9805,,0.00,execute,
9,2016-12-09,10247061.50,18765.4707,18996.3691,unknown,0.00,REGIME_D0_BREAKOUT_WATCH,0.2889
,2016-12-14,10247061.50,,19253.6094,unknown,0.25,REGIME_D3_TRIAL,
,2016-12-15,10247061.50,,19327.6992,,0.25,execute,
9,2016-12-16,10256796.99,,19401.1504,unknown,0.75,REGIME_D5_STRONG_ADD,0.2889
,2016-12-19,10249465.93,,19345.8398,,0.75,execute,
,2016-12-19,10267648.64,,19391.5996,unknown,0.50,REGIME_CAP_REDUCE,
,2016-12-20,10258207.66,,19367.8398,,0.50,execute,
3,2016-12-20,10291758.30,19439.9707,19494.5293,unknown,0.50,REGIME_D0_BREAKOUT_WATCH,0.1915
,2016-12-28,10267180.19,,19401.7207,unknown,0.00,REGIME_D5_FALLBACK_TRIM,
,2016-12-29,10240517.09,,19301.0391,,0.00,execute,
1,2017-01-04,10240517.09,19592.9004,19594.1602,unknown,0.00,REGIME_D0_BREAKOUT_WATCH,0.0125
,2017-01-20,10240517.09,,19137.9102,unknown,0.50,REGIME_D3_SUPPORT_RECLAIM_RESTORE,
,2017-01-23,10240517.09,,18938.4492,,0.50,execute,
2,2017-03-02,10409859.47,19519.4395,19564.8008,unknown,0.51,REGIME_D0_BREAKOUT_WATCH,0.0381
,2017-03-09,10343290.46,,19318.5801,unknown,0.00,REGIME_D5_FALLBACK_TRIM,
,2017-03-10,10377391.60,,19444.7109,,0.00,execute,
3,2017-04-26,10377391.60,19251.3008,19289.4297,bull,0.00,REGIME_D0_BREAKOUT_WATCH,0.2936
5,2017-05-11,10377391.60,19938.5293,19961.5508,bull,0.00,REGIME_D0_BREAKOUT_WATCH,0.1489
3,2017-06-02,10377391.60,19998.4902,20177.2793,bull,0.00,REGIME_D0_BREAKOUT_WATCH,0.0750
3,2017-09-13,10377391.60,19792.0605,19865.8203,range,0.00,REGIME_D0_BREAKOUT_WATCH,0.0658
,2017-09-19,10377391.60,,20299.3809,bull,0.50,REGIME_D3_TRIAL,
,2017-09-20,10377391.60,,20301.3301,,0.50,execute,
3,2017-09-21,10389186.90,,20347.4805,bull,0.85,REGIME_D5_NORMAL_ADD,0.0658
,2017-09-22,10406088.39,,20413.6094,,0.85,execute,
4,2017-10-03,10492947.71,20481.2695,20614.0703,bull,0.85,REGIME_D0_BREAKOUT_WATCH,0.3582
4,2017-10-11,10608724.58,,20881.2695,bull,1.00,REGIME_D5_STRONG_ADD,0.3582
,2017-10-12,10642049.59,,20958.1797,,1.00,execute,
5,2017-10-12,10640293.21,20898.4102,20954.7207,bull,1.00,REGIME_D0_BREAKOUT_WATCH,0.2755
9,2017-10-23,11017026.91,21503.8496,21696.6504,bull,1.00,REGIME_D0_BREAKOUT_WATCH,0.2697
